,Cleaned Tweets,Classement,Predicition_LR
2598,ce qui me répugne le plus  ce sont ces policiers  hommes et femmes  qui se soumettent sans questionnement aux ordres de tyrans sensés représentés le peuple et exécutent des raids nazi ds un 21ème siècle déjà hypothéqué par son imbécilité et ses psychotiques covidiots ,1,0
2599, grrr il a une belle tronche de nazi le jim   ,1,0
2600,piyr l instant il ne représente rien  et parler de démocratie en prenant la défense de zemmour cnest etre un con qui ignore l histoire  vous savez grand philosophe que vous êtes que hitler a été élu   ,1,0
2608,  tu sais lires des stats   c est juste toi frro tu suce un nazi qui le mérite uniquement en 2020,1,0
2621,pas que je sois folle mais on vit sous le régime nazi mais version moderne 2021 ratée  on a rien appris dans l histoire que ce qu on est en train de vivre sous les règles  les lois qui n ont aucune logique  les libertés et droits humains limités qu on soit vaccinés ou pas ,1,0
2626,vous me rappelez les sa en 1934   les sturmabteilung  càd les chemises brunes  qui avaient pour mission de perturber les meetings des partis adverses  vous est donc un nazi ,1,0
2629,le hitler nouvelle version    ,1,0
2632,un bon nazi,1,0
2639,vive kes arguments de réponse  pourquoi en 33 le drapeau et l aigle nazi flottait sur paris   pourquoi il y a eu une exposition universelle où on exposait les produits technologiques qui portait la croix gamée  la gauche était au pouvoir     ,1,0
2641,et de plus en plus  c est une sale race ,1,0
2644,oui  ben vous êtes complètement a coté de la plaque  les  femen méritent tout notre respect pour leurs actions qui permettent de faire parler des vrais problèmes  z c est qui   un petit journaleux insignifiant comme l était hitler avant de manipuler une minorité qui s est imposée,1,0
2645,les personnes qui défendent  zemmour se font traités de fasciste  raciste  xéno  nazi  d extrême droite  ce sont pourtant eux qui défendent un juif berbère attaqué par ce qu il y a de plus totalitaire à travers l histoire  l extr g  et l islamisme  bien aidés par leur suppôts ,1,0
2648,ah voilà les descendants des nazi  la version de régime nazi moderne ,1,0
2649,  voilà  j te disais quoi  après ça dit j suis un rageux etc  à un moment faut dire les termes ce negro c est une gonzess fin de l histoire  je vois pas un rajel qd je vois tayc moi je vois une bad bitch from instagram,1,0
2652,nazi  ursula du nsdap,1,0
2654,   t au courant y a 30 sons ptdrrrrr c un nazi,1,0
2659,où sont passés tes couilles negro,1,0
2666,c est toi le nazi le fasciste porteur de chemise noir ,1,0
2667,ptete on va retrouver des photos de lui avec hitler on sait pas ,1,0
2669,mdrr mais c est dernier temps temps y a des negro ils veulent que je tombe,1,0
2672,les gens qui sortent des  il dit tous haut ce que les français pense tout bas  eh oui mon coco c etait pareil pour hitler  tu sais tout le monde etait pas resistants contrairement a ce que le roman national veut nous faire croire,1,0
2676,voici le lien pour écouter beur fm,1,0
2680,wsh jx est même abonné à ma petite cousine wsh faut le stopper ce négro     ,1,0
2684,les pays européens succomberont à une dictature pire que celle d hitler  france  quebec  apocalypse  nwo  covid  vaccin  passedelahonte  pfizergate  media  bfm  paris  lyon  marseille  passsanitaire  nonauvaccinobligatoire  vaccination  zemmour  ps  rn  lr  macron  europe  nice,1,0
2691, bigot en hitler tu en sais quelque chose   le ché était de la même trempe   respect  ,1,0
2694,alors je vois les réactions à mon tweet donc je précise   c est pas une exagération  les discours de hitler fin années 20 début années 30  c est le discours de zemmour  c est juste pas la même cible  sinon  identique ,1,0
2700, lessables  herbe  portekoi zemmour est un nazi     je savais pas merci du renseignement,1,0
2707,envie d un gâteau choco nazi,1,0
2710, nappy heade  comme insulte  mais les afros américains ql sale race ,1,0
2712, philippot cette est la honte de notre nation  ils ne valent pas mieux que leurs ancêtres qui rafflaient les juifs sur ordre d un préfet à la solde d un qui rêvait de devenir de vrai bon nazi pour plaire à un dictateur aujourd hui qui sont les nazi ,1,0
2713,c est plus barça bayern  c est franco hitler mtn,1,0
2715,les kurdes c des sale race,1,0
2723,sauf carlo que c trop tard le mal est fait demerdez vous avec vos hitler führers guides de merde,1,0
2726,cette espèce de nazi touche combien de rétro commission  ,1,0
2734,pour marianne affirme le contraire avec des signalements bien précis  et les différents protagonistes tous français  la liberté d expression américaine permet quasiment tout salut nazi racisme pourtant si vous le faites en france youtube france vous sanctionne,1,0
2737, yy ah parce que t pas une bougnoul  ,1,0
2738,ça y est le nazi vandenbroucke a encore ouvert sa sale gueule  ,1,0
2739,non car un juif qui chie sur des arabe en 45 c est faire une pierre deux coup pour un nazi,1,0
2742,le bal des croques morts     comme si hitler et staline dansait une rumba     passsanitaire  3emedose,1,0
2745,irrefutablemente nazi,1,0
2754,la ficelle est gross de propagande  heureusement que le nazisme est finit avec hitler où la propagande était présente  quoique le communisme merkel macron est pas loin,1,0
2757,des idiots utiles qui ne savent pas pourquoi ils sont instrumentalisés  l illusion de puissance dans des conditions de dénouement total tout en se croyant incontournables  telle est la situation d un negre de service paraissant jouir de la protection du maître ,1,0
2760, herbe  portekoi reprenez les discours et les écrits de goebbels et vous comprendrez peut être    et oui cette   de goebbels zemmour est un nazi de la pire espèce qui en 40 aurait collaboré avec l occupant  lui qui veut réhabiliter pétain ,1,0
2764,sa sent le fake et la manipulation comme vous savez faire pas de facho à paris pas de zemmour non plus sieg heil le nazi,1,0
2767,le bordel autour du grand remplacement c est pour que les gueux sz tapent entre black blanc beur au lieu d aller chercher nos élites,1,0
2768, tarissi monsieur 100   calculs toujours impeccables  mais prémisses archi fausses  comme d hab  yaka developer des milliers de centrales et le problème est résolu  un vrai nazi le doigt sur la gâchette du nuke  prêt à aire tout sauter par dogme  le progrès techno  une croyance debile,1,0
2773, bouleau je viens de regarder le programme du parti national socialiste d hitler    si tu remplaces juifs par musulmans   t as le même chez zemour  ,1,0
2777,dingue ce bourrage de crane  ne touchez pas a nos gosses espece de nazi de la vaxx,1,0
2779,quand bunny aime se faire enfiler par son negre         ,1,0
2784, officiel ce métier de lâche et de petite bite  notre belle milice de collabos  comme en 40 où elle faisait le salut nazi  l histoire se répète  quand t as rien dans le slip c est plus facile que de s occuper de la vraie délinquance ,1,0
2787,wsh on a rien fait nous      je comptais sur le fait que le bayern soit déjà qualifié  fin d année ils jouent l équipe b mais non   ce nazi veut nous massacrer,1,0
2790,sale pute immonde   ils s enrichissent sur la morts des gens   ils n ont rien à envier à hitler   je les hais   et merci la police d être des collabos serviles de ces meurtriers  que je sache ils ne sont pas sujet a la vaccination   et ont se demande pourquoi  monde de merde,1,0
2797,il pue le nazi l enfoiré,1,0
2799, sante hitler est fier de son chien,1,0
2802,meme hitler ne faisait pas aussi peur sah,1,0
2807,pays de nazi  vous le paierez    ,1,0
2809,zemmour espère17000 visiteurs à sn meeting payant ça a ds relents de la prise de pouvoir d hitler ou ds hordes d allemands point levé rendaient hommage à lr dieu ls français en sont ils arrivés là  chacun pourra arborer le signe nazi auquel ils donneront une nouvelle vie,1,0
2811,babqhqqhqhqhaha bah c pareil que les reubeu faudra vraiment que j arrive à les convaincre,1,0
2812,j adore certains médias     le candidat d extrême droite radicale qui se présente comme le prochain sauveur de la france   en parlant de  zemmour    il doit manquer une petite case là haut pour comparer pas seulement l exemple là mais le camp national    à hitler ,1,0
2813,    yna tégé sal arabe,1,0
2814,mdrrrr wesh jtarrange un coup et en   tu m insulte   sal arabe va,1,0
2816,on peut plus dire sal arabe du coup      ,1,0
2817,sal noir      ,1,0
2818,c est vraiment un sal noir,1,0
2819,d accord youpin  hors sujet lol ,1,0
2820,bande de fdp j ai pas payer 1 jours y mon sauter mdrrrr sal juif,1,0
2821,oui c est une noir maintenant  on peut plus lui dire sal arabe pour elle      ,1,0
2823,fallai lui parler en arabe sal reubeu franciser,1,0
2824,une sal noir,1,0
2825,mdrrre pq tu critique le création d allah et ta pas vu ta gueule de youpin amkkknk,1,0
2827,prince qui fait une blague de merde et en   c est un sal noir,1,0
2828,ptdrr édouard mendy c est un sal noir c est ça  ,1,0
2829,sal noir parle pas dans mon dos,1,0
2830, yna degage sal arabe,1,0
2831,ya le ballon d or  non ce sal noir va dans des spaces dating  sal noir va,1,0
2832, adit mddr mais me dis pas prête ta machine pour manger solo sal juif,1,0
2833,ce ne serait pas plutôt certains  juifs   notamment orthodoxes  ou les  juifs de cour  tel un attali qui seraient antisémites   zemmour  le youpin algérien  qui ose se porter candidat à la présidentielle     zemmourprotègelesjuifs  zemmour  antisémite  antisémitisme,1,0
2835,y a grv des youpin à gdn,1,0
2838,les commentateurs ils sont pr l argent sales de la mafia youpine,1,0
2839,  ce sal noir ptn,1,0
2840,il a eu sa réponse le youpin,1,0
2841,vous ete des lerde a armé égal ont vous baizze les youpin,1,0
2843,     t vraiment fou sal noir,1,0
2844,tu veux flex sur moi sal noir  ,1,0
2846,je condamne le doigt d honneur du youpin  zemmour  je me reconnais davantage dans l héritage de  chirac en parlant du bruit  amp  de l odeur pestilentielle des métèques qui rendent fous les français de souche   et si vous bronchez  on vous fera courir bande de rouquins  ,1,0
2848,chacun son tour  vous vous faites aider par les youpin et leur pegasus  nous on a ce qu il faut  ,1,0
2849,il va parler de manchester ce sal noir je suis sûr,1,0
2853, mahrezz tu viens de le traiter de sal noir  ,1,0
2854,sal noir,1,0
2855,sal noir,1,0
